2161	454	640
2161	1	939
2161	185	258
2161	55	170
2161	9	453
2161	9	45
2161	14	190
2161	400	637
2161	255	275
2161	176	533
2161	116	533
2161	151	866
2161	280	484
2161	243	687
2161	54	866
2161	364	374
2161	295	441
2161	101	425
2161	47	241
2161	116	176
2161	179	202
2161	63	179
2161	564	577
2161	265	494
2161	443	637
2161	209	843
2161	222	843
2161	205	894
2161	1359	1383
2161	376	638
2161	1238	1260
2161	487	984
2161	226	353
2161	1342	1518
2161	122	255
2162	454	640
2162	1	939
2162	185	258
2162	1067	1324
2162	70	132
2162	9	453
2162	9	45
2162	55	779
2162	279	908
2162	14	190
2162	176	533
2162	116	533
2162	279	510
2162	280	484
2162	243	687
2162	202	545
2162	101	425
2162	55	170
2162	47	241
2162	116	176
2162	564	577
2162	265	494
2162	443	637
2162	1342	1518
2162	577	634
2162	209	843
2162	222	843
2162	1332	1401
2162	55	202
2162	582	605
2162	205	894
2162	1359	1383
2162	1238	1260
2162	487	984
2162	54	866
2162	252	374
2162	122	255
2163	454	640
2163	1	939
2163	1	55
2163	185	258
2163	3	884
2163	70	132
2163	9	453
2163	9	45
2163	55	779
2163	14	190
2163	400	637
2163	176	533
2163	116	533
2163	151	866
2163	280	484
2163	243	687
2163	353	884
2163	339	884
2163	202	545
2163	101	425
2163	55	170
2163	47	241
2163	116	176
2163	691	869
2163	265	494
2163	72	954
2163	443	637
2163	279	510
2163	577	634
2163	55	202
2163	209	843
2163	222	843
2163	1359	1383
2163	209	222
2163	376	638
2163	1238	1260
2163	487	984
2163	54	866
2163	1342	1518
2163	252	374
2163	122	255
2164	454	640
2164	1	939
2164	1	55
2164	185	258
2164	70	132
2164	9	453
2164	55	779
2164	14	190
2164	400	443
2164	400	637
2164	265	494
2164	151	866
2164	280	484
2164	54	866
2164	160	226
2164	116	176
2164	116	533
2164	295	441
2164	101	425
2164	55	170
2164	45	453
2164	47	241
2164	176	533
2164	72	954
2164	443	637
2164	117	364
2164	55	202
2164	209	843
2164	222	843
2164	205	894
2164	1359	1383
2164	209	222
2164	339	884
2164	1238	1260
2164	487	984
2164	346	374
2164	376	638
2164	252	374
2164	1342	1518
2164	111	124
2165	454	640
2165	1	939
2165	185	258
2165	70	132
2165	55	170
2165	55	779
2165	9	453
2165	9	45
2165	14	190
2165	276	621
2165	176	533
2165	116	533
2165	151	866
2165	280	484
2165	634	687
2165	243	687
2165	117	364
2165	116	176
2165	295	441
2165	101	425
2165	47	241
2165	39	871
2165	577	694
2165	243	694
2165	265	494
2165	443	637
2165	279	510
2165	487	984
2165	209	843
2165	222	843
2165	205	894
2165	1359	1383
2165	209	222
2165	339	884
2165	1238	1260
2165	54	866
2165	376	638
2165	252	374
2165	1342	1518
2165	111	124
2166	454	640
2166	1	778
2166	1	939
2166	185	258
2166	70	132
2166	513	638
2166	9	453
2166	9	45
2166	236	908
2166	14	190
2166	255	275
2166	276	621
2166	265	494
2166	151	866
2166	280	484
2166	160	226
2166	202	545
2166	116	176
2166	116	533
2166	55	170
2166	45	453
2166	47	241
2166	176	533
2166	443	637
2166	117	364
2166	209	843
2166	222	843
2166	54	866
2166	1359	1383
2166	339	884
2166	1238	1260
2166	487	984
2166	252	374
2166	1342	1518
2166	111	124
2166	376	638
2167	454	640
2167	1	778
2167	1	939
2167	185	258
2167	70	132
2167	55	170
2167	55	779
2167	376	513
2167	513	638
2167	9	453
2167	9	45
2167	779	883
2167	236	908
2167	14	190
2167	255	275
2167	176	533
